	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66

Gen	4004	4004	4004	4003	4004	2448	2349	2349	2348	2348	2347	1921	1918	1917	1913	1913	1897	1898	1898	1898	1892	1872	1860	1857	1853	1804	1760	1760	1760	1749	1739	1739	1739	1732	1732	1796	1729	1727	1729	1720	1715	1707	1707	1707	1707	1706	1706	1689	1689	1689																
	0	0	0	1	0	1556	1656	1656	1655	1655	1654	2083	2088	2082	2082	2081	2067	2068	2067	2067	2062	2042	2030	2027	2023	1974	1930	1930	1930	1919	1909	1909	1909	1902	1902	1966	1899	1897	1899	1890	1885	1877	1877	1877	1877	1876	1877	1859	1859	1859																
Exo	1706	1571	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491	1491																										
	1896	1526	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446	1446																										
Lev	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1491	1491	1491																																							
	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1446	1446	1446																																							
Num	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1490	1471	1471	1471	1471	1453	1452	1452	1452	1452	1452	1452	1452	1452	1452	1452	1452	1452	1452	1452	1451	1451																														
	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1445	1426	1426	1426	1426	1408	1407	1407	1407	1407	1407	1407	1407	1407	1407	1407	1407	1407	1407	1407	1406	1406																														
Deu	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451																																
	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406																																
Jos	1451	1451	1451	1451	1451	1451	1451	1451	1451	1451	1450	1452	1455	1444	1444	1444	1444	1444	1444	1444	1444	1444	1420	1420																																										
	1406	1406	1406	1406	1406	1406	1406	1406	1406	1406	1405	1407	1410	1399	1399	1399	1399	1399	1399	1399	1399	1399	1375	1375																																										
Jdg	1425	1425	1425	1316	1296	1256	1249	1249	1209	1206	1206	1143	1161	1141	1140	1120	1406	1406	1406	1406	1406																																													
