Ussher	Jewish			Hebrew	Greek	Samaritan										
4004 BC	AM 0	Adam, lives 930 yrs	Gen.1.26 - 5.5;	0	0	0										
3874BC	AM 130	Seth, lives 912 yrs	Gen.4.25-26; 5.3-7;	130	230	130										
3769 BC	AM 235	Enosh, lives 905 yrs	Gen.4.26; 5.6-11;	235	435	235										
3679 BC	AM 325	Kenan, lives 910 yrs	Gen.5.9-14;	325	625	325										
3609 BC	AM 395	Mahalalel, lives 895 yrs	Gen.5.12-17;	395	795	395										
3544 BC	AM 460	Jared, lives 962 or 847 yrs	Gen.5.15-20;	460	960	460										
3382 BC	AM 622	Enoch, lives 365 yrs	Gen.5.18-5.24;	622	1122	522										
3317 BC	AM 687	Methuselah, lives 969 or 720 yrs	Gen.5.21-27;	687	1287	587										
3130 BC	AM 874	Lamech, lives 777, 753 or 653 yrs	Gen.5.25-31;	874	1454	654										
3074 BC	AM 930	Adam died		930	930	930										
3017 BC	AM 987	Enoch dies		987	1487	887										
2962 BC	AM 1042	Seth dies		1042	1142	1042										
2948 BC	AM 1056	Noah, lives 950 yrs	Gen.5.29—10.1	1056	1642	707										
2864 BC	AM 1140	Enosh dies		1140	1340	1140										
2769 BC	AM 1235	Kenan dies		1235	1535	1235										
2714 BC	AM 1290	Mahalalel dies		1290	1690	1290										
2582 BC	AM 1422	Jared dies		1422	1922	1307										
2448 BC *	AM 1556*	Japheth, Noah's firstborn	Gen.5.32; 10.21	1556	2142	1207										Ussher concludes Japheth was born first. Seder Olam has Shem as firstborn
2446 BC *	AM 1558*	Shem, lives 600 yrs	Gen.5.32—11.11	1558	2144	1209										Ussher concludes Noah was 502. 
2353 BC	AM 1651	Lamech dies		1651	2207	1307										
2349 BC	AM 1656	Methuselah dies	Gen.6-9	1656	2256	1307										
"	"	Flood	Gen.6-9	1656	2256	1307										
2346 BC	AM 1658	Arphaxad, lives 438 or 565 yrs	Gen.10.22-24; 11.20-13	1658	2244	1309										
		Cainan, lives 460 yrs (only in Greek)	Gen.10.24; 11.13	—	2379	—										
