aaa	NG
aab	NG
aac	PG
aad	PG
aae	IT
aaf	IN
aag	PG
aah	PG
aai	PG
aak	PG
aal	CM, NG
aan	BR
aao	DZ
aap	BR
aaq	US
aar	DJ, ER, ET
aas	TZ
aat	GR
aau	PG
aaw	PG
aax	ID
aaz	ID
aba	CI
abb	CM
abc	PH
abd	PH
abe	CA
abf	MY
abg	PG
abh	AF, TJ
abi	CI
abj	IN
abk	GE
abl	ID
abm	NG
abn	NG
abo	NG
abp	PH
abq	RU
abr	CI, GH
abs	ID
abt	PG
abu	CI
abv	BH, SA
abw	PG
abx	PH
aby	PG
abz	ID
aca	CO
acb	NG
acd	GH
ace	ID
acf	DM, GD, LC, MQ
ach	SS, UG
aci	IN
ack	IN
acl	IN
acm	IQ, IR, SY
acn	CN, MM
acp	NG
acq	YE
acr	GT
acs	BR
act	NL
acu	EC, PE
acv	US
acw	SA
acx	OM
acy	CY
acz	SD
ada	GH
adb	TL
add	CM, NG
ade	GH, TG
adf	OM
adg	AU
adh	UG
adi	CN, IN
adj	CI
adl	IN
adn	ID
ado	PG
adq	GH, TG
adr	ID
ads	GH
adt	AU
adu	NG
adw	BR
adx	CN
ady	RU
adz	PG
aea	AU
aeb	TN
aec	EG
aed	AR
aee	AF
aek	NC
ael	CM
aem	LA, VN
aen	AM
aeq	PK
aer	AU
aes	US
aeu	CN
aew	PG
aey	PG
aez	PG
afb	IQ, KW, QA, SA
afd	PG
afe	NG
afg	AF
afi	PG
afk	PG
afn	NG
afo	NG
afp	PG
afr	BW, ZA
afs	MX
aft	SD
afu	GH
afz	ID
aga	PE
agb	NG
agc	NG
agd	PG
age	PG
agf	ID
agg	PG
agh	CD
agi	IN
agj	ET
agk	PH
agl	PG
agm	PG
agn	PH
ago	PG
agq	CM
agr	PE
ags	CM
agt	PH
agu	GT
agv	PH
agw	SB
agx	RU
agy	PH
agz	PH
aha	GH
ahb	VU
ahg	ET
ahh	ID
ahi	CI
ahk	CN, LA, MM, TH
ahl	TG
ahm	CI
ahn	NG
aho	IN
ahp	CI
ahr	IN
ahs	NG
aht	US
aia	SB
aib	CN
aic	PG
aid	AU
aie	PG
aif	PG
aig	AG, AI, KN, MF, MS
aih	CN
aii	IQ
aij	IL
aik	NG
ail	PG
aim	IN
ain	JP
aio	IN
aip	ID
aiq	AF
air	ID
ait	BR
aiw	ET
aix	PG
aiy	CF
aja	SS
ajg	BJ, TG
aji	NC
ajn	AU
ajs	DZ
aju	MA
ajw	NG
ajz	IN
aka	GH
akb	ID
akc	ID
akd	NG
ake	BR, GY, VE
akf	NG
akg	ID
akh	PG
aki	PG
akj	IN
akl	PH
akm	IN
ako	SR
akp	GH
akq	PG
akr	VU
aks	TG
akt	PG
aku	CM, NG
akv	RU
akw	CG
akx	IN
aky	IN
akz	US
ala	NG
alc	CL
ald	CI
ale	US
alf	NG
alh	AU
ali	PG
alj	PH
alk	LA
all	IN
alm	VU
aln	AL, ME, MK, RS
alo	ID
alp	ID
alq	CA
alr	RU
als	AL, GR
alt	RU
alu	SB
alw	ET
alx	PG
aly	AU
alz	CD, UG
ama	BR
amb	NG
amc	BR, PE
ame	PE
amf	ET
amg	AU
amh	ET
ami	TW
amj	TD
amk	ID
aml	BD, IN
amm	PG
amn	PG
amo	NG
amp	PG
amq	ID
amr	PE
ams	JP
amt	PG
amu	MX
amv	ID
amw	SY
amx	AU
amy	AU
amz	AU
ana	CO
anb	PE
anc	NG
and	ID
ane	NC
anf	GH
anh	PG
ani	RU
anj	PG
ank	NG
anl	MM
anm	IN
ann	NG
ano	CO
anp	IN
anq	IN
anr	IN
ans	CO
ant	AU
anu	ET, SS
anv	CM
anw	NG
anx	PG
any	CI, GH
anz	PG
aoa	ST
aob	PG
aoc	BR, GY, VE
aod	PG
aoe	PG
aof	PG
aog	PG
aoi	AU
aoj	PG
aok	NC
aol	ID
aom	PG
aon	PG
aor	VU
aos	ID
aot	BD, IN
aou	CN
aox	BR, GY
aoz	ID
apb	SB
apc	IL, JO, LB, PS, SY, TR
apd	SD, SS
ape	PG
apf	PH
apg	ID
aph	NP
api	BR
apj	US
apk	US
apl	US
apm	US
apn	BR
apo	PG
app	VU
apq	IN
apr	PG
aps	PG
apt	IN
apu	BR
apv	BR
apw	US
apx	ID
apy	BR
apz	PG
aqc	RU
aqd	ML
aqg	NG
aqk	NG
aqm	ID
aqn	PH
aqp	US
aqr	NC
aqt	PY
aqz	BR
arb	SA
ard	AU
are	AU
arg	ES
arh	CO
ari	US
arj	BR
ark	BR
arl	PE
arn	AR, CL
aro	BO
arp	US
arq	DZ
arr	BR
ars	IQ, JO, SA, SY
aru	BR
arv	ET
arw	GF, SR
arx	BR
ary	EH, MA
arz	EG
asa	TZ
asb	CA
asc	ID
ase	US
asf	AU
asg	NG
ash	PE
asi	ID
asj	CM
ask	AF
asl	ID
asm	IN
asn	BR
aso	PG
asp	DZ
asq	AT
asr	IN
ass	CM
ast	ES, PT
asu	BR
asv	CD
asw	AU
asx	PG
asy	ID
asz	ID
ata	PG
atb	CN, MM
atc	PE
atd	PH
ate	PG
atg	NG
ati	CI
atj	CA
atk	PH
atl	PH
atm	PH
atn	IR
ato	CM
atp	PH
atq	ID
atr	BR
ats	US
att	PH
atu	SS
atv	RU
atw	US
atx	BR, VE
aty	VU
atz	PH
aua	SB
aub	CN
auc	EC
aud	SB
aug	BJ, TG
auh	CD, ZM
aui	PG
auj	LY
auk	PG
aul	VU
aum	NG
aun	PG
auo	NG
aup	PG
auq	ID
aur	PG
aut	PF
auu	ID
auw	ID
aux	BR
auy	PG
auz	IR, UZ
ava	AZ, GE, RU
avb	PG
avd	IR
ave	IR
avi	CI
avl	EG, JO, PS
avm	AU
avn	GH
avo	BR
avs	PE
avt	PG
avu	CD, SS
avv	BR
awa	IN, NP
awb	PG
awc	NG
awe	BR
awg	AU
awh	ID
awi	PG
awk	AU
awm	PG
awn	ET
awo	NG
awr	ID
aws	ID
awt	BR
awu	ID
awv	ID
aww	PG
awx	PG
awy	ID
axb	AR
axe	AU
axg	BR
axk	CF, CG
axl	AU
axx	NC
aya	PG
ayb	BJ
ayc	PE
ayd	AU
aye	NG
ayg	TG
ayh	YE
ayi	NG
ayk	NG
ayl	EG, LY, NE
ayn	YE
ayo	BO, PY
ayp	IQ, SY, TR
ayq	PG
ayr	BO, CL, PE
ays	PH
ayt	PH
ayu	NG
ayz	ID
aza	CN
azb	IQ, IR, TR
azd	MX
azg	MX
azj	AM, AZ, GE
azm	MX
azn	MX
azo	CM
azt	PH
azz	MX
baa	SB
bab	GW
bac	ID
bae	VE
baf	CM
bag	CM
bah	BS
baj	ID
bak	RU
bam	CI, ML
ban	ID
bao	BR, CO
bap	IN, NP
bar	AT
bas	CM
bau	NG
bav	CM
baw	CM
bax	CM
bay	ID
bba	BJ, NG
bbb	PG
bbc	ID
bbd	PG
bbe	CD
bbf	PG
bbg	GA
bbh	CN
bbi	CM
bbj	CM
bbk	CM
bbl	GE
bbm	CD
bbn	PG
bbo	BF, ML
bbp	CF
bbq	CM
bbr	PG
bbs	NG
bbt	NG
bbu	NG
bbv	PG
bbw	CM
bbx	CM
bby	CM
bca	CN
bcb	SN
bcc	IR, PK
bcd	ID
bce	CM
bcf	PG
bcg	GN
bch	PG
bci	CI
bcj	AU
bck	AU
bcl	PH
bcm	PG
bcn	NG
bco	PG
bcp	CD
bcq	ET
bcr	CA
bcs	NG
bct	CD
bcu	PG
bcv	NG
bcw	CM
bcy	NG
bcz	SN
bda	GW, SN
bdb	ID
bdc	CO
bdd	PG
bde	NG
bdf	PG
bdg	MY
bdh	CD, SS
bdi	SD
bdj	SS
bdk	AZ
bdl	ID
bdm	CM, NG, TD
bdn	CM
bdo	TD
bdp	TZ
bdq	VN
bdr	MY
bds	TZ
bdt	CF
bdu	CM
bdv	IN
bdw	ID
bdx	ID
bdy	AU
bdz	PK
bea	CA
beb	CM
bec	CM, NG
bed	ID
bee	IN, NP
bef	PG
beg	BN
beh	BF, BJ, TG
bei	ID
bej	EG, ER, SD
bek	PG
bel	BY
bem	CD, ZM
ben	BD, IN
beo	PG
bep	ID
beq	CG
bes	TD
bet	CI
beu	ID
bev	CI
bew	ID
bex	SS
bey	PG
bez	TZ
bfa	SS
bfb	IN
bfc	CN
bfd	CM
bfe	ID
bff	CF
bfg	ID
bfh	PG
bfi	GB
bfj	CM
bfk	TH
bfl	CF
bfm	CM
bfn	ID, TL
bfo	BF
bfp	CM
bfq	IN
bfr	IN
bfs	CN
bft	IN, PK
bfu	IN
bfw	IN
bfx	PH
bfy	IN
bfz	IN
bga	NG
bgb	ID
bgc	IN
bgd	IN
bge	IN
bgf	CM
bgg	IN
bgi	PH
bgj	CM
bgk	CN, LA
bgl	LA
bgn	AF, IR, PK
bgo	GN
bgp	PK
bgq	IN
bgr	BD, IN, MM
bgs	PH
bgt	SB
bgu	CM, NG
bgv	ID
bgw	IN
bgx	TR
bgy	ID
bgz	ID
bha	IN
bhb	IN
bhc	ID
bhd	IN
bhe	PK
bhf	PG
bhg	PG
bhh	IL
bhi	IN
bhj	NP
bhl	PG
bhm	OM
bhn	GE
bho	IN, NP
bhp	ID
bhq	ID
bhr	MG
bhs	CM
bht	IN
bhu	IN
bhv	ID
bhw	ID
bhx	IN
bhy	CD
bhz	ID
bia	AU
bib	BF, GH, TG
bid	TD
bie	PG
bif	GW
big	PG
bil	NG
bim	GH
bin	NG
bio	PG
bip	CD
biq	PG
bir	PG
bis	VU
bit	PG
biu	IN
biv	CI, GH
biw	CM
bix	IN
biy	IN
biz	CD
bja	CD
bjb	AU
bjc	PG
bje	CN
bjf	IL
bjg	GW
bjh	PG
bji	ET
bjj	IN
bjk	PG
bjl	PG
bjm	IQ
bjn	ID
bjo	CD, CF
bjp	PG
bjr	PG
bjs	BB
bjt	SN
bju	CM
bjv	TD
bjw	CI
bjx	PH
bjy	AU
bjz	PG
bka	NG
bkc	CM, GA
bkd	PH
bkf	CD
bkg	CD, CF
bkh	CM
bki	VU
bkj	CF
bkk	IN, PK
bkl	ID
bkm	CM
bkn	ID, MY
bko	CM
bkp	CD
bkq	BR
bkr	ID
bks	PH
bkt	CD
bku	PH
bkv	NG
bkw	CG, CM, GA
bkx	TL
bky	CM, NG
bkz	ID
bla	CA, US
blb	SB
blc	CA
bld	ID
ble	GW
blf	ID
blh	LR
bli	CD
blj	ID
blk	MM, TH
bll	US
blm	SS
bln	PH
blo	BJ, TG
blp	SB
blq	PG
blr	CN, MM, TH
bls	ID
blt	CN, LA, VN
blv	AO
blw	PH
blx	PH
bly	BJ
blz	ID
