aaa	Ghotuo
aab	Arum
aac	Ari
aad	Amal
aae	Arbëreshë Albanian
aaf	Aranadan
aag	Ambrak
aah	Abu’
aai	Miniafia Oyan
aak	Ankave
aal	Afade
aan	Anambé
aao	Algerian Saharan Arabic
aap	Pará Arara
aaq	Eastern Abenaki
aar	Afar
aas	Aasáx
aat	Arvanitika Albanian
aau	Abau
aaw	Solong
aax	Mandobo Atas
aaz	Amarasi
aba	Abé
abb	Bankon
abc	Ambala Ayta
abd	Manide
abe	Western Abenaki
abf	Abai Sungai
abg	Wagama
abh	Tajiki Arabic
abi	Abidji
abj	Aka-Bea
abk	Abkhaz
abl	Lampung Nyo
abm	Abanyom
abn	Abua
abo	Abon
abp	Abellen Ayta
abq	Abaza
abr	Abron
abs	Ambonese Malay
abt	Ambulas
abu	Abure
abv	Baharna Arabic
abw	Pal
abx	Inabaknon
aby	Aneme Wake
abz	Abui
aca	Achagua
acb	Áncá
acd	Gikyode
ace	Aceh
acf	Lesser Antillean French Creole
ach	Acholi
aci	Aka-Cari
ack	Aka-Kora
acl	Akar-Bale
acm	Mesopotamian Arabic
acn	Ngochang
acp	Eastern Acipa
acq	Ta’izzi-Adeni Arabic
acr	Achi
acs	Acroá
act	Achterhoeks
acu	Achuar-Shiwiar
acv	Achumawi
acw	Hijazi Arabic
acx	Omani Arabic
acy	Cypriot Arabic
acz	Acheron
ada	Dangme
adb	Atauran
add	Lidzonka
ade	Adele
adf	Dhofari Arabic
adg	Andegerebinha
adh	Jopadhola
adi	Adi
adj	Adioukrou
adl	Galo Adi
adn	Adang
ado	Abu
adq	Adangbe
adr	Adonara
ads	Adamorobe Sign Language
adt	Adnyamathanha
adu	Aduge
adw	Amundava
adx	Amdo Tibetan
ady	Adyghe
adz	Adzera
aea	Areba
aeb	Tunisian Arabic
aec	Sa’idi Arabic
aed	Argentine Sign Language
aee	Northeast Pashai
aek	Haeke
ael	Ambele
aem	Arem
aen	Armenian Sign Language
aeq	Aer
aer	Eastern Arrernte
aes	Alsea
aeu	Akeu
aew	Ambakich
aey	Amele
aez	Aeka
afb	Gulf Arabic
afd	Andai
afe	Utugwang-Irungene-Afrike
afg	Afghan Sign Language
afi	Chini
afk	Nanubae
afn	Defaka
afo	Ajiri
afp	Tapei
afr	Afrikaans
afs	Afro-Seminole Creole
aft	Afitti
afu	Awutu
afz	Obokuitai
aga	Aguano
agb	Legbo
agc	Agatu
agd	Agarabi
age	Angal
agf	Arguni
agg	Angor
agh	Ngelima
agi	Agariya
agj	Argobba
agk	Katubung Agta
agl	Fembe
agm	Angaataha
agn	Agutaynen
ago	Tainae
agq	Aghem
agr	Awajún
ags	Esimbi
agt	Central Cagayan Agta
agu	Awakateko
agv	Remontado Dumagat
agw	Kahua
agx	Aghul
agy	Southern Alta
agz	Mt. Iriga Agta
aha	Ahanta
ahb	Axamb
ahg	Qimant
ahh	Aghu
ahi	Tiagbamrin Aizi
ahk	Akha
ahl	Igo
ahm	Mobumrin Aizi
ahn	Àhàn
aho	Ahom
ahp	Aproumu Aizi
ahr	Ahirani
ahs	Ashe
aht	Ahtena
aia	Arosi
aib	Ainu
aic	Ainbai
aid	Alngith
aie	Amara
aif	Agi
aig	Leeward Caribbean English Creole
aih	Ai-Cham
aii	Assyrian Neo-Aramaic
aij	Inter-Zab Jewish Neo-Aramaic
aik	Akye
ail	Eibela
aim	Aimol
ain	Ainu
aio	Aiton
aip	Burumakok
aiq	Aimaq
air	Airoran
ait	Arikem
aiw	Aari
aix	Aighon
aiy	Ali
aja	Aja
ajg	Aja
aji	Ajië
ajn	Andajin
ajs	Algerian Jewish Sign Language
aju	Judeo-Moroccan Arabic
ajw	Ajawa
ajz	Amri Karbi
aka	Akan
akb	Batak Angkola
akc	Mpur
akd	Ukpet-Ehom
ake	Akawaio
akf	Akweya
akg	Anakalangu
akh	Angal Heneng
aki	Aiome
akj	Aka-Jeru
akl	Aklanon
akm	Aka-Bo
ako	Akurio
akp	Siwu
akq	Ak
akr	Soro-n Raki
aks	Akaselem
akt	Akolet
aku	Akum
akv	Akhvakh
akw	Akwa
akx	Aka-Kede
aky	Aka-Kol
