#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! There are a number of different sources of information as regards books and
#! the order in which they appear:
#!
#! Details of these can be found at:
#!
#! - UBS: https://ubsicap.github.io/usfm/identification/books.html
#!
#! - USX: https://paratext.thedigitalbiblelibrary.org/static/docs/usx/vocabularies.html
#!
#! - OSIS: https://www2.crosswire.org/osis/OSIS%202.1.1%20User%20Manual%2006March2006.pdf
#!   Appendix C1 or https://wiki.crosswire.org/OSIS_Book_Abbreviations#cite_note-10.
#!
#!
#! There is also a fourth collection below -- the names needed in the JSON files
#! we create in support of our own osis2mod, giving verse-structure and mapping
#! details.  These need to follow Crosswire practice, which unfortunately to some
#! extent represents yet another scheme.
#!
#! I did at one stage think that the Crosswire header files might also have a
#! thing or two to say on the subject, but in fact I think they are not so
#! relevant after all: they merely say which of the possible books appear within
#! the various versification schemes for which they cater.
#!
#! I had also assumed that the OSIS reference manual would be definitive, but in
#! fact Crosswire have their own greatly expanded list of books, and I now
#! believe this to be the list to be which we should be working.
#!
#! Unfortunately, their list contains quite a lot of books which do not appear
#! in the USX scheme, nor, so far as I can see, in the UBS document upon which
#! USX is based.  This means that in theory we lack USX abbreviations and names
#! for these books.  This is unfortunate, because I really need abbreviations
#! for the sake of uniformity.  These entries in the data below are marked with
#! a tilde in the data below so I don't lose track of them.  The processing
#! replaces the tildes with a copy of the OSIS abbreviation and name for the
#! sake of having something I can work with.
#!
#! There are also some places where the Crosswire list gives a USX abbreviation,
#! but not one -- so far as I can see -- which actually appears in the USX
#! or UBS documentation.  Pending further investigation, I have retained the
#! abbreviation given in the Crosswire documentation, but placed a tilde at
#! the front so I don't lose track of the ones with which I have a potential
#! issue.
#!
#! Incidentally, it doesn't matter if there are some books which USX does not
#! appear to support, since presumably we're simply not going to see them in
#! any USX input, so it doesn't greatly matter what pretend name we give to
#! them.
#!
#!
#!
#! IMPORTANT
#! =========
#!
#! m_DcStart in BibleAnatomy assumes Tobit is the first DC entry.
#! m_DcEnd in BibleAnatomy assumes 'DUMMY' is the last DC entry.
#! Processing assumes that the DC books run contiguously.
#!
#! If you need to change any of the above, the definitions of m_DcStart and
#! m_DcEnd may need to be changed and / or processing may need to be revised.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

#BookNo	OsisAbbreviation	OsisShortName	UsxAbbreviation	UsxShortName	ImpAbbreviation	ImpShortName	JsonAbbreviation	JsonShortName
0		Unused – for alignment with UBS book numbering		Unused		Unused		Unused
1	Gen	Genesis	Gen	Genesis	Gen	Genesis	Gen	Genesis
2	Exod	Exodus	Exo	Exodus	Exod	Exodus	Exo	Exodus
3	Lev	Leviticus	Lev	Leviticus	Lev	Leviticus	Lev	Leviticus
4	Num	Numbers	Num	Numbers	Num	Numbers	Num	Numbers
5	Deut	Deuteronomy	Deu	Deuteronomy	Deut	Deuteronomy	Deu	Deuteronomy
6	Josh	Joshua	Jos	Joshua	Josh	Joshua	Jos	Joshua
7	Judg	Judges	Jdg	Judges	Judg	Judges	Judg	Judges
8	Ruth	Ruth	Rut	Ruth	Ruth	Ruth	Rut	Ruth
9	1Sam	1 Samuel	1Sa	1 Samuel	1Sam	I Samuel	1Sa	1 Samuel
10	2Sam	2 Samuel	2Sa	2 Samuel	2Sam	II Samuel	2Sa	2 Samuel
11	1Kgs	1 Kings	1Ki	1 Kings	1Kgs	I Kings	1Ki	1 Kings
12	2Kgs	2 Kings	2Ki	2 Kings	2Kgs	II Kings	2Ki	2 Kings
13	1Chr	1 Chronicles	1Ch	1 Chronicles	1Chr	I Chronicles	1Ch	1 Chronicles
14	2Chr	2 Chronicles	2Ch	2 Chronicles	2Chr	II Chronicles	2Ch	2 Chronicles
15	Ezra	Ezra	Ezr	Ezra	Ezra	Ezra	Ezr	Ezra
16	Neh	Nehemiah	Neh	Nehemiah	Neh	Nehemiah	Neh	Nehemiah
17	Esth	Esther[6]	Est	Esther	Esth	Esther	Est	Esther
18	Job	Job	Job	Job	Job	Job	Job	Job
19	Ps	Psalms	Psa	Psalms	Ps	Psalms	Psa	Psalms
20	Prov	Proverbs	Pro	Proverbs	Prov	Proverbs	Pro	Proverbs
21	Eccl	Ecclesiastes	Ecc	Ecclesiastes	Eccl	Ecclesiastes	Ecc	Ecclesiastes
22	Song	Song of Solomon	Sng	Song of Solomon	Song	Song of Solomon	Song	Song of Solomon
23	Isa	Isaiah	Isa	Isaiah	Isa	Isaiah	Isa	Isaiah
24	Jer	Jeremiah	Jer	Jeremiah	Jer	Jeremiah	Jer	Jeremiah
25	Lam	Lamentations	Lam	Lamentations	Lam	Lamentations	Lam	Lamentations
26	Ezek	Ezekiel	Ezk	Ezekiel	Ezek	Ezekiel	Eze	Ezekiel
27	Dan	Daniel	Dan	Daniel	Dan	Daniel	Dan	Daniel
28	Hos	Hosea	Hos	Hosea	Hos	Hosea	Hos	Hosea
29	Joel	Joel	Jol	Joel	Joel	Joel	Joe	Joel
30	Amos	Amos	Amo	Amos	Amos	Amos	Amo	Amos
31	Obad	Obadiah	Oba	Obadiah	Obad	Obadiah	Obd	Obadiah
32	Jonah	Jonah	Jon	Jonah	Jonah	Jonah	Jon	Jonah
33	Mic	Micah	Mic	Micah	Mic	Micah	Mic	Micah
34	Nah	Nahum	Nam	Nahum	Nah	Nahum	Nah	Nahum
35	Hab	Habakkuk	Hab	Habakkuk	Hab	Habakkuk	Hab	Habakkuk
36	Zeph	Zephaniah	Zep	Zephaniah	Zeph	Zephaniah	Zep	Zephaniah
37	Hag	Haggai	Hag	Haggai	Hag	Haggai	Hag	Haggai
38	Zech	Zechariah	Zec	Zechariah	Zech	Zechariah	Zec	Zechariah
39	Mal	Malachi	Mal	Malachi	Mal	Malachi	Mal	Malachi
40		Unused – for alignment with UBS book numbering		Unused		Unused		Unused
41	Matt	Matthew	Mat	Matthew	Matt	Matthew	Mat	Matthew
42	Mark	Mark	Mrk	Mark	Mark	Mark	Mar	Mark
43	Luke	Luke	Luk	Luke	Luke	Luke	Luk	Luke
44	John	John	Jhn	John	John	John	Joh	John
45	Acts	Acts	Act	Acts	Acts	Acts	Act	Acts
46	Rom	Romans	Rom	Romans	Rom	Romans	Rom	Romans
47	1Cor	1 Corinthians	1Co	1 Corinthians	1Cor	I Corinthians	1Cor	1 Corinthians
48	2Cor	2 Corinthians	2Co	2 Corinthians	2Cor	II Corinthians	2Cor	2 Corinthians
49	Gal	Galatians	Gal	Galatians	Gal	Galatians	Gal	Galatians
50	Eph	Ephesians	Eph	Ephesians	Eph	Ephesians	Eph	Ephesians
51	Phil	Philippians	Php	Philippians	Phil	Philippians	Phili	Philippians
52	Col	Colossians	Col	Colossians	Col	Colossians	Col	Colossians
53	1Thess	1 Thessalonians	1Th	1 Thessalonians	1Thess	I Thessalonians	1Th	1 Thessalonians
54	2Thess	2 Thessalonians	2Th	2 Thessalonians	2Thess	II Thessalonians	2Th	2 Thessalonians
