#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! ISO language codes (2-char and 3-char).  From https://www.loc.gov/standards/iso639-2/php/code_list.php,
#! augmented by entries from the Ethnologue.  See also
#! https://en.wikipedia.org/wiki/List_of_ISO_639_language_codes and the places
#! it points to.
#!
#! Format is:
#!
#!   3-char code | 2-char code where available | language name | comma-separated list of countries where language is used.
#!
#! where ' | ' represents a tab.
#!
#!
#!
#! Manual changes
#! ==============
#!
#! The 3-char code for Bengali (ben) does have a 2-char equivalent (bn).
#! However, I have removed the 2-char code below, because if we use it, texts
#! are recorded as Bangala rather than Bengali.  In fact, Bangala is a
#! recognised alternative to Bengali, but we have decided we want the texts
#! displayed as Bengali.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

aaa		Ghotuo	Nigeria
aab		Arum	Nigeria
aac		Ari	Papua New Guinea
aad		Amal	Papua New Guinea
aae		Arbëreshë Albanian	Italy
aaf		Aranadan	India
aag		Ambrak	Papua New Guinea
aah		Abu’	Papua New Guinea
aai		Miniafia Oyan	Papua New Guinea
aak		Ankave	Papua New Guinea
aal		Afade	Cameroon, Nigeria
aan		Anambé	Brazil
aao		Algerian Saharan Arabic	Algeria
aap		Pará Arara	Brazil
aaq		Eastern Abenaki	United States
aar	aa	Afar	Djibouti, Eritrea, Ethiopia
aas		Aasáx	Tanzania
aat		Arvanitika Albanian	Greece
aau		Abau	Papua New Guinea
aaw		Solong	Papua New Guinea
aax		Mandobo Atas	Indonesia
aaz		Amarasi	Indonesia
aba		Abé	Côte d’Ivoire
abb		Bankon	Cameroon
abc		Ambala Ayta	Philippines
abd		Manide	Philippines
abe		Western Abenaki	Canada
abf		Abai Sungai	Malaysia
abg		Wagama	Papua New Guinea
abh		Tajiki Arabic	Afghanistan, Tajikistan
abi		Abidji	Côte d’Ivoire
abj		Aka-Bea	India
abk	ab	Abkhaz	Georgia
abl		Lampung Nyo	Indonesia
abm		Abanyom	Nigeria
abn		Abua	Nigeria
abo		Abon	Nigeria
abp		Abellen Ayta	Philippines
abq		Abaza	Russian Federation
abr		Abron	Côte d’Ivoire, Ghana
abs		Ambonese Malay	Indonesia
abt		Ambulas	Papua New Guinea
abu		Abure	Côte d’Ivoire
abv		Baharna Arabic	Bahrain, Saudi Arabia
abw		Pal	Papua New Guinea
abx		Inabaknon	Philippines
aby		Aneme Wake	Papua New Guinea
abz		Abui	Indonesia
aca		Achagua	Colombia
acb		Áncá	Nigeria
acd		Gikyode	Ghana
ace		Aceh	Indonesia
acf		Lesser Antillean French Creole	Dominica, Grenada, Saint Lucia, Martinique
ach		Acholi	South Sudan, Uganda
aci		Aka-Cari	India
ack		Aka-Kora	India
acl		Akar-Bale	India
acm		Mesopotamian Arabic	Iraq, Iran, Syria
acn		Ngochang	China, Myanmar
acp		Eastern Acipa	Nigeria
acq		Ta’izzi-Adeni Arabic	Yemen
acr		Achi	Guatemala
acs		Acroá	Brazil
act		Achterhoeks	Netherlands
acu		Achuar-Shiwiar	Ecuador, Peru
acv		Achumawi	United States
acw		Hijazi Arabic	Saudi Arabia
acx		Omani Arabic	Oman
acy		Cypriot Arabic	Cyprus
acz		Acheron	Sudan
ada		Dangme	Ghana
adb		Atauran	East Timor
add		Lidzonka	Cameroon, Nigeria
ade		Adele	Ghana, Togo
adf		Dhofari Arabic	Oman
adg		Andegerebinha	Australia
adh		Jopadhola	Uganda
adi		Adi	China, India
adj		Adioukrou	Côte d’Ivoire
adl		Galo Adi	India
adn		Adang	Indonesia
ado		Abu	Papua New Guinea
adq		Adangbe	Ghana, Togo
adr		Adonara	Indonesia
ads		Adamorobe Sign Language	Ghana
adt		Adnyamathanha	Australia
adu		Aduge	Nigeria
adw		Amundava	Brazil
adx		Amdo Tibetan	China
ady		Adyghe	Russian Federation
adz		Adzera	Papua New Guinea
aea		Areba	Australia
aeb		Tunisian Arabic	Tunisia
aec		Sa’idi Arabic	Egypt
aed		Argentine Sign Language	Argentina
aee		Northeast Pashai	Afghanistan
aek		Haeke	New Caledonia
ael		Ambele	Cameroon
aem		Arem	Laos, Vietnam
aen		Armenian Sign Language	Armenia
aeq		Aer	Pakistan
aer		Eastern Arrernte	Australia
aes		Alsea	United States
aeu		Akeu	China
aew		Ambakich	Papua New Guinea
aey		Amele	Papua New Guinea
aez		Aeka	Papua New Guinea
afb		Gulf Arabic	Iraq, Kuwait, Qatar, Saudi Arabia
afd		Andai	Papua New Guinea
afe		Utugwang-Irungene-Afrike	Nigeria
afg		Afghan Sign Language	Afghanistan
afi		Chini	Papua New Guinea
afk		Nanubae	Papua New Guinea
afn		Defaka	Nigeria
afo		Ajiri	Nigeria
afp		Tapei	Papua New Guinea
afr	af	Afrikaans	Botswana, South Africa
afs		Afro-Seminole Creole	Mexico
aft		Afitti	Sudan
afu		Awutu	Ghana
afz		Obokuitai	Indonesia
aga		Aguano	Peru
agb		Legbo	Nigeria
agc		Agatu	Nigeria
agd		Agarabi	Papua New Guinea
age		Angal	Papua New Guinea
agf		Arguni	Indonesia
agg		Angor	Papua New Guinea
agh		Ngelima	Democratic Republic of the Congo
agi		Agariya	India
agj		Argobba	Ethiopia
agk		Katubung Agta	Philippines
agl		Fembe	Papua New Guinea
agm		Angaataha	Papua New Guinea
agn		Agutaynen	Philippines
ago		Tainae	Papua New Guinea
agq		Aghem	Cameroon
